분야,전략목표,프로그램,성과,산출물
거버넌스_평화,분쟁예방 및 평화로운 삶의 기반,"커뮤니티 내 공동체 증진 및 경제 회복력 강화를 통한 사회통합, 안전하고 지속가능한 사회 조성 ","지난 2년간 분쟁을 겪었고 형태별로 공식 혹은 비공식 분쟁해결 매커니즘에 접근했던 인구의 비율(SDG16.3.3), 가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 기초 공공 서비스에 접근가능한 가구에 살고 있는 인구 비율(SDG1.4.1), 생산적이고 지속 가능한 농업에 사용되는 농지면적 비율(SDG2.4.1)","거버넌스, 법치, 분쟁갈등 관리 및 예방 관련 매커니즘 구축 및 활동 건수, 거버넌스, 법치, 분쟁갈등 관리 및 예방을 위한 교육, 훈련, 워크숍, 훈련 참가 주민 수, 국가 기본 체계 구축을 위한 중점 분야 필수 법/제도/정책/계획/컨설팅 수립 건 수, 제공/개선된 기초 공공서비스/인프라 수 "
거버넌스_평화,참여적이고 포용적인 민주주의 ,"포용적인 선거 및 입법활동 지원, 참여적 민주주의 기반 확대 지원 ","가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 정보에 대한 대중의 접근을 보장하기 위해 헌법과 법률에 근거한 정책의 채택 및 이행도(SDG16.10.2), 선거, 입법, 민주적 참여 관련 법책략도정의 비준율, 제공된 디지털 서비스 및 인프라 이용자 수/제공된 디지털 서비스 및 인프라 활용 건수","선거, 입법, 민주적 참여 관련 분야 법/제도/정책/계획/컨설팅 수립 건 수, 선거, 입법, 민주적 참여 관련 훈련, 교육 참가 정부 관계자/시민 수, 제공된 디지털 서비스 및 인프라 개수, 선거, 입법, 민주적 참여 관련 인지제고 관련 역량강화 교육을 받은 시민 수"
거버넌스_평화,안전하고 정의로운 사법·치안제도,"안전하고 평등한 사법·치안 역량강화 지원, 정부 투명성 및 국민 신뢰도 강화 ","가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 사법·치안, 반부패/감사 관련 법/정책/전략/제도/규정의 비준율, 대상지역 범죄검거율, 관할 지역 구역 사법기관, 조직의 연간 적기 업무 처리 비율, 반부패/감사 기구의 조사 건수","사법·치안, 반부패/감사 관련 법/제도/정책/계획/컨설팅 수립 건 수, 사법·치안, 반부패/감사 관련  훈련, 교육 참가 정부 관계자 수, 제공된 디지털 서비스 및 인프라 개수, 사법치안, 반부패/감사 관련 인지제고 관련 역량강화 교육을 받은 시민 수"
거버넌스_평화,책임있고 효율적인 행정제도,"행정서비스 현대화 및 운영 역량 강화, 공공재정 및 경제 운영역량 강화","가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 행정서비스 현대화, 공공재정, 경제운영 관련 법/정책/전략/제도/규정의 비준율, 제공된 디지털 서비스 및 인프라 이용자 수/제공된 디지털 서비스 및 인프라 활용 건수, 연간 행정조직의 적기 업무 처리 비율, 거시경제 지표","행정서비스 현대화, 공공재정, 경제운영 관련 법/제도/정책/계획/컨설팅 수립 건 수, 행정서비스 현대화, 공공재정, 경제운영 관련 훈련, 교육 참가 정부 관계자 수, 제공된 디지털 서비스 및 인프라 개수, 디지털 역량강화 교육을 받은 참여자 수"
과학기술혁신,과학기술분야 시스템 구축,과학기술정책수립 컨설팅 지원,과학기술혁신 법제도 개선 및 신규 정책 수(건)(협력 사업과의 직접적인 연관성이 있는 경우로 한정),"과학기술혁신 정책 또는 연구개발 관련 마스터플랜 수립 수(건), 과학기술혁신 정책 수립참여 또는 교육 수혜인원 수(명)"
과학기술혁신,과학기술분야 시스템 구축,과학기술 고등인력 양성지원,(SDG9.5.2)석박사급 연구개발 전문 인력 수(명) (성별분리),과학기술혁신 정책 또는 연구개발 관련 석박사 과정 참여자 수(건)
과학기술혁신,과학기술분야 시스템 구축,연구개발 인프라 구축 및 역량강화 지원,과학기술분야 논문 발표 수(건),신규 연구개발과제 수행 수(건)
과학기술혁신,기술혁신기반의 산업발전 지원,기술기반 창취업 지원,"(SDG9.b.1) 기술기반 창업기업 수(개) ,기술기반 창업 기업의 일자리 창출(대표자를 포함한 정기적인 급여가 지급되는 직원 수)","창업지원 프로그램 수혜기업 수(개), 창업지원 역량강화 프로그램 수혜인원 수(명) "
과학기술혁신,기술혁신기반의 산업발전 지원,산학연 연계활동 지원,산학연 연계 기술이전 또는 지식재산권 출원 수(건) (협력 사업과의 직접적인 연관성이 있는 경우로 한정),산학연 연계 연구개발 과제 수(건)
과학기술혁신,협력국 경제 · 사회문제의 혁신적 해결,"국내민간부문 혁신역량을 활용한 협력국 지원, 글로벌 혁신파트너십을 통한 협력국 지원",기술 기반 사업화(기술 검증/시제품 개발) 수(건) (협력 사업과의 직접적인 연관성이 있는 경우로 한정),"혁신적 문제해결 프로그램 참여기업 수(개), 혁신적 문제해결 프로그램 또는 협력국 현지 기술혁신센터 기반 기술개발 수(건), 혁신적 파트너십 프로그램 국제기관 또는 해외파트너(민간 파트너 포함) 수(개)"
교육,학습성과를 위한 양질의 교육 ,기초교육 질 제고 프로그램,"(SDG4.1.1)초등학교 (a) 2/3학년; (b) 졸업학년과, (c) 중학교 졸업학년 시기에 (i) 읽기와 (ii) 수학에서 최소 숙달기준율 달성하는 아동과 청소년의 비율(수) (성별분리), SDG 4.1.2 이수율 (초등교육, 중등교육(90 단계), 중등교육(112단계) (성별분리), UNESCO/SDG 4.1.4 학교 밖 아동 및 청소년 비율 (초등학교, 중학교, 고등학교) (성별분리), (SDG 4.6.1)해당 연령대 중 적어도 특정 수준의 기능적 (a) 문해 및 (b) 수리 기술 능숙도를 갖춘 인구의 비율 (성별분리), UNESCO/SDG 4.6.3 문맹 청소년 및 성인의 문해 프로그램 참여율 (성별분리), UNESCO/SDG 4.7.2 생활기술 기반 성생식보건 교육 프로그램 제공 학교 비율, 7. SDG 4.c.1 최소 자격기준을 충족하는 교사 비율(수) (초등학교, 중학교, 고등학교) (성별분리)","교육프로그램 수혜 학습자 수(명별분리), 연수받은 교직원 수(명별 분리), 지원받은 교육 시설 수, 개발된 교육과정 수(건), 개발된 교보재 수(종), 공인 평가/자격등급 취득 학습자/교원 수(명별, 취약계층(장애 등) 분리)"
교육,미래역량개발을 위한 디지털교육,디지털교육 역량강화 프로그램,"SDG 4.4.1 정보통신기술(ICT)을 보유한 청소년과 성인의 비율(수) (성별분리, 기술유형별)","교육프로그램 수혜 학생 수(명별분리), 연수받은 교직원 수(명별, 취약계층(장애 등) 분리), 지원받은 교육 시설 수, 개발된 디지털컨텐츠 수(종), 지원한 디지털교육 이용자 수(명별 분리), 지원받은 IT단말기수(대)"
교육,인재양성을 위한 직업·고등교육 ,청년인재 양성 프로그램,"SDG4.3.1 정규 및 비정규 교육과 훈련에 참여한 청소년과 성인의 비율(수) (성별분리), 공인 자격증 취득률 (성별분리), 졸업생 취업률 (성별분리), 지원기관 졸업율(성별분리)","연수받은 교직원 수(명별, 취약계층(장애 등) 분리), 지원받은 교육 시설 수, 개발된 교육과정 수(종), 개발된 교보재 수(종), 공인 평가/자격등급 취득 학습자/교원 수(명별, 취약계층(장애 등) 분리)"
교통,경제적 생산성 향상 및 경제발전 지원,경제발전 견인 및 연결성 강화를 위한 교통네트워크 구축,"사계절 이용가능한 도로의 반경 2km 이내에 거주하는 지방 인구의 비율 (SDG 9.1.1), 승객 및 화물 운송량 (운송 수단별) (SDG 9.1.2), 협력국 정부/기관/위원회에서 승인 또는 수용한 제도/계획, '후속사업 추진을 위한 정부 승인/재원조달 수, 학교, 보건소, 시장 등 주요 생활인프라시설로의 접근성(비율, 개소, 시간)","교통체계 관련 법/제도/정책/계획 수립 건수, 교통체계 관련 마스터플랜(M/P)/타당성조사(FS)/기본설계/실시설계 건수, 교통효율성 향상을 위한 시스템 구축 규모(km, 개소, m2, %), 교통효율성 향상을 위한 기자재 지원 건수, 교통 운영 및 관리를 위한 센터(교육 센터 포함) 구축 건수(개소), 교통체계 개선을 위한 역량강화 교육을 받은 교육생 수(명), 교통체계 개선 교육 매뉴얼/프로그램 수"
교통,경제적 생산성 향상 및 경제발전 지원,누구나 이용가능하고 접근성이 우수한 교통 환경 구현,"사계절 이용가능한 도로의 반경 2km 이내에 거주하는 지방 인구의 비율 (SDG 9.1.1), 승객 및 화물 운송량 (운송 수단별) (SDG 9.1.2), 협력국 정부/기관/위원회에서 승인 또는 수용한 제도/계획, '후속사업 추진을 위한 정부 승인/재원조달 수, 학교, 보건소, 시장 등 주요 생활인프라시설로의 접근성(비율, 개소, 시간)","교통서비스 관련 법/제도/정책/계획 수립 건수, 교통서비스 관련 마스터플랜(M/P)/타당성조사(FS)/기본설계/실시설계 건수, 신설/개선된 교통시설/수단 규모(km, 개소, m2, %), 교통서비스 향상을 위한 역량강화 교육을 받은 교육생 수(명), 교통서비스 향상 역량강화를 위해 개발된 매뉴얼/프로그램 수"
교통,안전하고 포용적인 교통 환경 구축,교통사고 제로 및 사회적 손실비용 최소화를 위한 교통안전 증진,"도로교통사고 부상으로 인한 사망률(명/10만 명당) (SDG 3.6.1), 대중교통에 편리하게 접근 가능한 인구 수(비율) (SDG 11.2.1), 협력국 정부/기관/위원회에서 승인 또는 수용한 제도/계획 수, 후속사업 추진을 위한 정부 승인/재원조달 수, 교통사고 발생건 수/사상자 수, 대중교통(또는 비동력교통) 수송분담률(%) 또는 1인당 대중교통 노선연장","교통안전 관련 법/제도/정책/계획 수립 건수, 교통안전을 위해 개선된 도로구간(km), 교차로 또는 교량 수(개소), 교통안전 관련 시스템 적용 규모(km, 개소, m2, %), 교통안전 관련 기자재 지원 건수, 교통안전교육 자료/매뉴얼 수(개), 교통안전 역량강화 교육을 받은 공무원/교사/주민 수(명) "
교통,안전하고 포용적인 교통 환경 구축,교통약자 및 소외계층을 아우르는 생활밀착형 교통서비스 제공,"도로교통사고 부상으로 인한 사망률(명/10만 명당) (SDG 3.6.1), 대중교통에 편리하게 접근 가능한 인구 수(비율) (SDG 11.2.1), 협력국 정부/기관/위원회에서 승인 또는 수용한 제도/계획 수, 후속사업 추진을 위한 정부 승인/재원조달 수, 교통사고 발생건 수/사상자 수, 대중교통(또는 비동력교통) 수송분담률(%) 또는 1인당 대중교통 노선연장","교통약자 및 소외계층 관련 법/제도/정책/계획 수립 건수, 교통약자 및 소외계층 이동편의지원시설 규모(km, 개소, m2), 공공/도시교통 개선을 위해 역량강화 교육을 받은 교육생 수(명) "
교통,기후변화 대응 및 환경 보전,"사람과 자연이 공존할 수 있는 환경친화적 교통 정책, 기술 및 서비스 제공","연도별 총 온실가스 배출량 (SDG 13.2.2), 협력국 정부/기관/위원회에서 승인 또는 수용한 제도/계획 수, 후속사업 추진을 위한 정부 승인/재원조달 수, 해당 지역의 교통 지·정체 감소율(%), 해당 지역/구간의 교통소음 감소율(%)","친환경 교통 관련 법/제도/정책/계획 수립 건수, 교통혼잡 완화 또는 온실가스 감축 등을 위한 친환경 교통시설(시스템) 구축 규모(km, 개소, m2), 환경영향평가(EIA)/환경영향분석 또는 환경영향 저감방안 수립 건수, 친환경 교통 관련 역량강화 교육을 받은 교육생 수(명), 기후변화 대응 및 환경 보전을 위한 기자재 지원 건수"
기후행동,2050 탄소중립 달성 지원,저탄소 전환,"(SDG13.2.2) 감소된 온실가스 배출량(탄소감축량, tons of CO2q./year)","신재생에너지 설치용량(kW), 친환경모빌리티 보급수(개수), 재활용 또는 처리방식이 개선된 폐기물양(t), 신규 조성 또는 보존된 탄소흡수원 면적(ha), 탄소중립 분야 역량강화 수혜자수(명)"
기후행동,녹색회복 및 기후적응 지원,녹색회복 기후적응,"(SDG13.3.1)기후변화 적응, 기술이전, 개발계획 수립의 결과로 수혜가 예상되는 인구수(명)","기후적응 개발계획 수립건(수), 기후회복력 향상 수혜자(명), 기후회복력이 향상된 생태계 면적(ha)"
기후행동,녹색기후 파트너십 강화,녹색기후 파트너십,"기후재원 연계 및 파트너십 증진 실적(규모, 건수)","녹색기후기금(GCF) 연계사업 발굴 실적(사업비), 녹색 분야 타기관과의 협업 실적(건수)"
농촌개발,지속가능한 농림수산업 생산 증대 및 시장성 강화,"농림수산업 생산성 강화 지원, 농림수산업 가치사슬 강화","(SDG 2.3.1) 노동단위당 생산 규모(농업, 목축업, 산림업 규모별)대체지표: 단위면적당 생산규모($)), (SDG 2.3.2) 소규모 농업인(소농) 평균소득(성별, 원주민 신분별)","농업(축/수산업) 분야 역량강화 지원을 받은 수혜자 수(명/성별분리통계), 농업(축/수산업)기자재 지원을 받은 수혜자 수, 신규 개간된 농지 면적(ha), 관개 여건이 개선된 농지 면적(ha), 농민협동조직 조합원 수(명/성별분리통계), 증가한 농촌지도사 혹은 연구인력 수(명/성별분리통계), 농업(축/수산업) 관련 금융접근성이 개선된 신규 수혜자 수"
농촌개발,포용적이고 지속가능한 농산어촌개발,포용적이고 지속가능한 농촌개발,"(SDG 2.3.2) 소규모 농업인(소농) 평균소득(성별, 원주민 신분별)","금융 접근성이 개선된 신규 수혜자 수(명/성별분리통계), 투입된 마을(소액)금융 자본금 ($), 농업외 소득활동 수혜자 수(명), 개선된 농촌 도로시설 혜택을 받은 신규 수혜자 수, 신규 설치된 전력시설 혜택을 받은 수혜자 수, 신규 식수 시설이 설치된 가구 수, 농촌도로 신규 구축/보수 구간 길이 (km), 신규 설치된 전력시설(발전기) 전력용량 (Kw), 신규 설치된 식수 관련 시설 수, 농촌공동체 조직역량 강화활동(비농업분야) 수혜자 수(명/성별분리) "
농촌개발,기후변화 대응을 위한 농어촌 생산체계 구축 및 자연자원 보전,"기후변화 대응 농촌 역량 강화, 지속가능 산림경영","(SDG 2.4.1) 생산적이고 지속가능한 농업에 사용되는 농지면적 비율, (SDG 15.2.1) 지속가능한 산림 관리 이행 비율","기후위험 완화 방식(섞어짓기, 농업보험, 농업대출) 도입 비율, 생태녹화 조림 및 식재 사업면적(ha), 산림경영·생태계 다양성 관련 역량강화 지원을 받은 수혜자 수(명/성별분리통계) "
도시,계획 기반 스마트 도시 성장 및 지속가능한 도시화 지원,계획적인 도시개발 및 관리 기반 구축,"국가도시정책 기반 도시개발 목표 설정 및 효율적인 이행 수단 도입, 통합적인 도시 및 지역계획이 수립된 도시에 거주하는 인구수(비율) (SDG 11.a.), (SDG 9.5.2) 석박사급 전문 인력 수(명) (성별분리)","국가도시정책(National Urban Policy Framework) 수립 건수, 지방정부 단위 도시개발 및 관리 관련 법/제도/정책/계획 수립 건수, 도시개발 및 관리를 위한 역량강화 교육을 받은 중앙/지방정부 관계자 및 시민의 수"
도시,계획 기반 스마트 도시 성장 및 지속가능한 도시화 지원,자연과 사람이 공존하는 스마트 도시 개발,센다이 재난위험감축체계(2015030)에 따라 지역적인 재난위험 감축 전략을 채택하고 이행하는 지방정부 수(비율) (11.b.1.),"도시 및 지역 회복력 진단을 통한 재난관리 관련 법/제도/정책/계획 수립 건수, 재난대응 역량강화 교육을 받은 인구의 수"
도시,계획 기반 스마트 도시 성장 및 지속가능한 도시화 지원,문화 및 자연 유산 보존과 활용,문화 및 자연 유산 보존과 활용을 위한 지출 증가 (SDG 11.4.1),문화 및 자연 유산 보존과 활용을 위한 법/제도/정책/ 계획 수립 건수
도시,도시 취약계층을 고려한 포용적 도시개발 ,포용적 주거 및 도시개발,"슬럼, 비공식 정주지 또는 부적정 주거에 거주하는 도시 인구 수(비율) (SDG 11.1), 지역사회 또는 시민이 도시계획 및 관리에 직접 참여하는 수단을 가진 도시의 수(비율) (SDG 11.3.2)","적정주택 관련 법/제도/정책/ 계획 수립 건수, 지역사회 또는 시민이 참여한 도시계획 및 도시 관리 활동 건수"
도시,도시 취약계층을 고려한 포용적 도시개발 ,도시 공공공간 조성 및 개선,"성별, 연령별, 장애유무별 도시 내 공공 공간 이용자수 (SDG 11.7.1)",공공 공간/그린인프라 관련 법/제도/정책/계획 수립 건수
도시,회복력 있고 안전한 도시개발을 위한 다분야 통합적 접근,도시 회복력 강화를 위한 다분야 융합,"통합적이고 효율적인 자원활용, 기후변화 저감 및 적응, 재난 회복력을 지향하는 통합정책과 계획을 수립한 도시의 수(비율)  (SDG 11.b.1.), 도시고형폐기물 적정 수거, 처리 비율 (SDG 11.6.1), 실내, 실외 대기오염에 의한 건강피해 예방 및 저감 혜택 인구수","국가, 지방 단위 재난위험경감(DRR)를 위한 계획(전략/마스터플랜/기본계획) 수립 수(건), 국가, 지방 단위 재난위험경감(DRR)를 위한 계획(전략/마스터플랜/기본계획) 수립 수(건), 개선된 폐기물 중간 및 최종처리량(ton), 대기질 정보 수신 가능 인구수, 대기질 개선을 위한 정책/계획 수립 건수"
도시,회복력 있고 안전한 도시개발을 위한 다분야 통합적 접근,핵심 인프라 건설 연계형 통합적 도시개발,다분야 통합적 접근 방법론을 적용하여 수립한 정책/계획 건수,다분야 통합적 접근을 위한 국내외 협력 거버넌스 구축 및 활동 건수
물,삶에 필요한 깨끗한 물과 위생 확보,식수 공급 및 위생 (WASH),"(SDG 6.1.1) 안전하게 관리되는 식수 이용 인구수/비율, (SDG 6.2.1) 안전하게 관리되는 위생시설(화장실, 세면대) 이용 인구수/비율, (SDG 6.3.1) 안전하게 처리되는 폐수 비율, (물 분야 성과지표) 효율적으로 공급되는 유수량/유수율, (물 분야 성과지표) 물 관련 시설 운영관리 능력도 (1), (물 분야 성과지표) 물 관련 재해위험 이해도 (1)","기본적인 수준의 식수에 접근이 가능한 인구의 수(가구/학교/보건시설), 기본적 수준의 화장실 시설에 접근이 가능한 인구 수(가구/학교/보건시설), 비누를 사용하여 주요시점마다 손씻기를 행하는 인구 수(가구/학교/보건시설), 노상배변근절(Open Defecation Free) 인증 받은 마을 수(개), 식수위생 관리교육을 받은 보건의료인력의 수(명), 식수위생 관리교육을 받은 마을주민의 수(명), 처리시설을 통해 처리된 폐수량(㎥/day), 안전한 물 공급/폐수처리 등의 관리교육을 받은 관리자(공무원) 수(명), 안전한 물 공급/폐수처리 등의 관리교육을 받은 주민의 수(명), 상수도시설 효율화를 위한 계획(마스터플랜/기본계획) 수립 수(건), 물 관리 및 재해관리 시설(시스템, 시설, 장비 포함) 구축 수(개)/(식), 통합물관리/재해관리 역량강화 교육훈련을 받은 관리자(공무원) 수(명)"
물,자원으로서 지속가능한 물이용 보장,"디지털 물 정보화, 유역 통합물관리","(SDG 6.5.1) 유역단위 통합물관리(IWRM) 이행 정도 (000), 통합물관리(IWRM) 지원을 위한 정책반영 수준 (000), 통합물관리 이행을 위한 기관 및 참여수준 (000), 통합물관리(IWRM) 지원을 위한 관리도구 수준 (000), 수자원개발 및 관리를 위한 재정도 (000)","통합물관리 지원을 위한 계획(마스터플랜/기본계획) 수립 수(건), 유역 협력 거버넌스 모델 또는 물 관리 조직의 프레임워크(협의체) 수(개), 물 관리 및 재해관리 시설(시스템, 시설, 장비 포함) 구축 수(개)/(식), 물 관련 인프라 구축을 위한 예산 및 세금(revenue) 확보, 통합물관리/재해관리 역량강화 교육훈련을 받은 관리자(공무원) 수(명), 물 관련 재해대응 인식개선 교육 및 훈련을 받은 마을주민의 수(명)"
