연도,사업분야,금액원,금액달러
1991,공공행정,6005775589,7894027
1991,교육,1556218893,2045503
1991,기술환경에너지,559778627,735776
1991,기타,4881451000,6416208
1991,긴급구호,658892000,866052
1991,농림수산,979738243,1287774
1991,보건의료,2734594648,3594367
1992,공공행정,5909252017,7495246
1992,교육,1669977131,2118185
1992,기술환경에너지,1516035870,1922927
1992,기타,9085040210,11523389
1992,긴급구호,1173569000,1488545
1992,농림수산,1850975337,2347762
1992,보건의료,1963458435,2490434
1993,공공행정,5423031953,6710843
1993,교육,3201327179,3961548
1993,기술환경에너지,2829877889,3501891
1993,기타,7655589000,9473566
1993,긴급구호,415333000,513962
1993,농림수산,2006787785,2483341
1993,보건의료,3073235194,3803038
1994,공공행정,7121435870,8861696
1994,교육,5360403018,6670321
1994,기술환경에너지,4196488639,5221981
1994,기타,9129363384,11360299
1994,긴급구호,585134526,728123
1994,농림수산,1641608638,2042767
1994,보건의료,2739949850,3409509
1995,공공행정,5316987697,6895418
1995,교육,7383597298,9575532
1995,기술환경에너지,4480043075,5810013
1995,기타,11342863048,14710167
1995,긴급구호,874160979,1133669
1995,농림수산,2728598492,3538625
1995,보건의료,5832868682,7564446
1996,공공행정,8048687430,10001103
1996,교육,9238769746,11479870
1996,기술환경에너지,3285286112,4082216
1996,기타,12327710508,15318112
1996,긴급구호,792501789,984743
1996,농림수산,2811413857,3493394
1996,보건의료,6745536154,8381839
1997,공공행정,11209490912,11785693
1997,교육,11903466461,12515342
1997,기술환경에너지,7593060706,7983368
1997,기타,11731033408,12334045
1997,긴급구호,725279052,762561
1997,농림수산,4099141181,4309850
1997,보건의료,5499331531,5782014
1998,공공행정,8149203410,5825520
1998,교육,13589131863,9714294
1998,기술환경에너지,6765841845,4836613
1998,기타,11742833103,8394453
1998,긴급구호,707412665,505699
1998,농림수산,5397763198,3858632
1998,보건의료,7423339554,5306631
1999,공공행정,5625295319,4729205
1999,교육,12182695605,10242035
1999,기술환경에너지,6801724048,5718233
1999,기타,9592785327,8064688
1999,긴급구호,1977112113,1662165
1999,농림수산,3889111503,3269590
1999,보건의료,5047698202,4243618
2000,공공행정,7252895073,6415085
2000,교육,17181793048,15197057
2000,기술환경에너지,5590583572,4944794
2000,기타,9485685812,8389957
2000,긴급구호,546243225,483145
2000,농림수산,3516718948,3110489
2000,보건의료,7701787896,6812124
2001,공공행정,9273976141,7184506
2001,교육,13046037165,10106704
2001,기술환경에너지,4543979336,3520200
2001,기타,10693140961,8283927
2001,긴급구호,16760978686,12984652
2001,농림수산,4967738454,3848484
2001,보건의료,10432439201,8081962
2002,공공행정,23246067487,18578424
2002,교육,15130064617,12092056
2002,기술환경에너지,8435727929,6741894
2002,기타,11492514429,9184900
2002,긴급구호,1215827000,971698
2002,농림수산,7286909939,5823751
2002,보건의료,10857309005,8677239
2003,공공행정,43667097556,36636852
2003,교육,38907453512,32643494
2003,기술환경에너지,11078426775,9294840
2003,기타,15182334353,12738033
2003,긴급구호,8330765108,6989542
2003,농림수산,10857118533,9109162
2003,보건의료,19876736626,16676654
2004,공공행정,61080428719,53360732
2004,교육,58392927758,51012893
2004,기술환경에너지,15074137780,13168981
2004,기타,19355925527,16909612
2004,긴급구호,14652669361,12800780
2004,농림수산,12668376828,11067274
2004,보건의료,22183484069,19379807
2005,공공행정,33999001667,33192102
2005,교육,51377582656,50158236
2005,기술환경에너지,23121817901,22573067
2005,기타,19769571625,19300379
2005,긴급구호,31258793656,30516927
2005,농림수산,10577285807,10326255
2005,보건의료,45016400410,43948024
2006,공공행정,46521717626,48687840
2006,교육,39608902707,41453154
2006,기술환경에너지,25994581182,27204928
2006,기타,21722884110,22734335
2006,긴급구호,16340861302,17101717
2006,농림수산,8815437529,9225898
2006,보건의료,25876230499,27081067
2007,공공행정,61658109266,66356123
2007,교육,60675747648,65298911
2007,기술환경에너지,33944389654,36530768
2007,기타,29730039089,31995307
2007,긴급구호,10966240986,11801809
2007,농림수산,14062260763,15133729
2007,보건의료,40049098041,43100622
2008,공공행정,61350436084,55265684
2008,교육,66126900584,59568418
2008,기술환경에너지,32886929946,29625196
2008,기타,39983164383,36017624
2008,긴급구호,18779783228,16917200
2008,농림수산,26929057576,24258227
2008,보건의료,59485052832,53585310
2009,공공행정,51851866814,40703247
2009,교육,87338383226,68559842
2009,기술환경에너지,28628151523,22472841
2009,기타,48358556025,37961030
2009,긴급구호,21886573235,17180762
2009,농림수산,39669982555,31140578
2009,보건의료,78013666963,61240024
2010,공공행정,130722000000,113140144
2010,교육,95790257199,82906575
2010,기술환경에너지,77200354714,66816994
2010,기타,56732801245,49102303
2010,긴급구호,18399409319,15924709
2010,농림수산,55010457402,47611612
2010,보건의료,90876072574,78653343
2011,공공행정,73530007519,66404775
2011,교육,110872000000,100128481
2011,기술환경에너지,61733838658,55751683
2011,기타,77995376523,70437439
2011,긴급구호,25885082089,23376756
2011,농림수산,43389890105,39185307
2011,보건의료,58433810433,52771435
2012,공공행정,73319437289,65120737
2012,교육,133317000000,118409461
2012,기술환경에너지,67436123583,59895305
2012,기타,79117238796,70270218
2012,긴급구호,2229673977,1980348
2012,농림수산,65235525726,57940781
2012,보건의료,80682598812,71660537
2013,공공행정,75200049118,68698555
2013,교육,153539000000,140264279
2013,기술환경에너지,79944973523,73033253
2013,기타,58669860278,53597500
2013,긴급구호,1244765754,1137148
2013,농림수산,72308695461,66057176
2013,보건의료,81875868637,74797210
2014,공공행정,95498775467,90686583
2014,교육,138007000000,131052924
2014,기술환경에너지,82621841927,78458519
2014,기타,68178545173,64743021
2014,긴급구호,13878993761,13179630
2014,농림수산,85283556306,80986109
2014,보건의료,97081524730,92189577
2015,공공행정,105190000000,92980840
2015,교육,133134000000,117681656
2015,기술환경에너지,114268000000,101005052
2015,기타,69978232788,61855985
2015,긴급구호,15865602719,14024111
2015,농림수산,93774393847,82890168
2015,보건의료,105000000000,92812546
2016,공공행정,99636106179,85849454
2016,교육,131963000000,113703820
2016,기술환경에너지,87986097093,75811628
2016,기타,116823000000,100658572
2016,긴급구호,9072849617,7817473
2016,농림수산,96056188771,82765004
2016,보건의료,98948036648,85256745
2017,공공행정,101717000000,89964896
2017,교육,135185000000,119565766
2017,기술환경에너지,87173093616,77100976
2017,기타,106978000000,94617273
2017,긴급구호,4751499731,4202505
2017,농림수산,91106427433,80579884
2017,보건의료,108737000000,96173616
2018,공공행정,123721000000,112454878
2018,교육,169234000000,153823195
2018,기술환경에너지,74283894276,67519431
2018,기타,115644000000,105113245
2018,긴급구호,7726664361,7023058
2018,농림수산,80671060140,73324936
2018,보건의료,112464000000,102222933
2019,공공행정,127432000000,109355657
2019,교육,186331000000,159900407
2019,기술환경에너지,81962610252,70336371
2019,기타,153188000000,131458716
2019,긴급구호,7944800670,6817852
2019,농림수산,88381932283,75845135
2019,보건의료,110756000000,95045717
2020,공공행정,108294000000,91764823
2020,교육,134675000000,114119141
2020,기술환경에너지,71876330817,60905539
2020,기타,151216000000,128135621
2020,긴급구호,17314405556,14671635
2020,농림수산,65093851648,55158317
2020,보건의료,130176000000,110307074
2021,공공행정,128186000000,112006143
2021,교육,100400000000,87726832
2021,기술환경에너지,107330000000,93782674
2021,기타,152336000000,133107706
2021,긴급구호,13084455790,11432903
2021,농림수산,91071467306,79576185
2021,보건의료,135360000000,118274821
2022,공공행정,142165000000,110085175
2022,교육,110529000000,85588256
2022,기술환경에너지,127419000000,98666784
2022,기타,174370000000,135022932
2022,긴급구호,14275018975,11053838
2022,농림수산,96997917164,75110138
2022,보건의료,139215000000,107800698
2023,공공행정,193413000000,148094883
2023,교육,148139000000,113428491
2023,기술환경에너지,137385000000,105194357
2023,기타,193244000000,147965126
2023,긴급구호,17849577272,13667256
2023,농림수산,110607000000,84690583
2023,보건의료,155253000000,118876070
